AnimalID	Time	BG.Start	BG.End	Date	Delivery	GLP1.Start	GLP1.End	Ins.Start	Ins.End	Gcg.Start	Gcg.End
TJKV06M.36	7	7.7	7.7	2018/08/07	ArgTT	24.6020845683447	24.6020845683447	4.22403812338916	4.22403812338916	0	180
TJKV06M.37	7	6.8	6.8	2018/08/07	ArgTT	36.3624103919553	36.3624103919553	4.9987815325374	4.9987815325374	407.958794180288	407.958794180288
TJKV06M.38	7	5.5	5.5	2018/08/07	ArgTT	3.79845581889052	3.79845581889052	4.11431437603207	4.11431437603207	0	180
TJKV06M.47	7	7.6	7.6	2018/08/07	ArgTT	12.9756309111367	12.9756309111367	1.4393856324097	1.4393856324097	47.8312975100932	47.8312975100932
TJKV06M.48	7	4.7	4.7	2018/08/07	ArgTT	8.77180043951251	8.77180043951251	1.97092043100007	1.97092043100007	0	180
TJKV06M.02	15	2.8	2.8	2018/08/07	ArgTT	0	13.333333333333334	1.70339014871205	1.70339014871205	0	180
TJKV06M.06	15	6	6	2018/08/07	ArgTT	34.5597388038562	34.5597388038562	9.09858160875001	9.09858160875001	245.96632039083	245.96632039083
TJKV06M.07	15	10.4	10.4	2018/08/07	ArgTT	52.1037612956035	52.1037612956035	0.371255023146746	0.371255023146746	0	180
TJKV06M.13	15	4.8	4.8	2018/08/07	ArgTT	55.6939536563685	55.6939536563685	1.26769645545285	1.26769645545285	257.1496565639	257.1496565639
TJKV06M.15	15	5.5	5.5	2018/08/07	ArgTT	27.4458288907396	27.4458288907396	0.733730542752545	0.733730542752545	0	180
TJKV06M.18	15	6.6	6.6	2018/08/07	ArgTT	51.4724843476861	51.4724843476861	1.3656996371294	1.3656996371294	29.8099641452314	29.8099641452314
TJKV06M.20	15	3.6	3.6	2018/08/07	ArgTT	159.660784408368	159.660784408368	1.27162964940252	1.27162964940252	899.508515322998	899.508515322998
TJKV06M.03	15	2	2	2018/08/07	ArgTT	69.3033818152656	69.3033818152656	1.27984002615598	1.27984002615598	235.421972582665	235.421972582665
TJKV06M.28	15	3.8	3.8	2018/08/07	ArgTT	123.343007363518	123.343007363518	1.55583543550918	1.55583543550918	282.955962236986	282.955962236986
TJKV06M.29	15	2.6	2.6	2018/08/07	ArgTT	231.073970996705	231.073970996705	0.942250291754189	0.942250291754189	1097.96959366614	1097.96959366614
TJKV06M.34	15	1.6	1.6	2018/08/07	ArgTT	154.212775366075	154.212775366075	0.996805528934773	0.996805528934773	527.006132182743	527.006132182743
TJKV06M.41	15	3.7	3.7	2018/08/07	ArgTT	126.403056723922	126.403056723922	0.78639824259985	0.78639824259985	624.314074319268	624.314074319268
TJKV06M.42	15	5.8	5.8	2018/08/07	ArgTT	104.078811555134	104.078811555134	1.16662089775681	1.16662089775681	269.860710147657	269.860710147657
TJKV06M.43	15	5.1	5.1	2018/08/07	ArgTT	147.418818522217	147.418818522217	4.56185275100131	4.56185275100131	896.407777797842	896.407777797842
TJKV06M.45	15	3.1	3.1	2018/08/07	ArgTT	158.448086059335	158.448086059335	1.67223610239984	1.67223610239984	692.778682436736	692.778682436736
TJKV06M.01	15	5.9	5.9	2018/08/07	ArgTT	33.1942770219332	33.1942770219332	0.6157925783536	0.6157925783536	0	180
TJKV06M.04	15	3	3	2018/08/07	ArgTT	52.5900863749464	52.5900863749464	1.383377097804	1.383377097804	0	180
TJKV06M.05	15	5.6	5.6	2018/08/07	ArgTT	47.0955145728802	47.0955145728802	1.09534236602135	1.09534236602135	85.9302474689595	85.9302474689595
TJKV06M.19	15	6.5	6.5	2018/08/07	ArgTT	43.6424872693336	43.6424872693336	6.62585530657762	6.62585530657762	175.694476658684	175.694476658684
TJKV06M.22	15	6.5	6.5	2018/08/07	ArgTT	28.4078216218418	28.4078216218418	1.03732888895037	1.03732888895037	0	180
TJKV06M.23	15	9.1	9.1	2018/08/07	ArgTT						
TJKV06M.24	15	4	4	2018/08/07	ArgTT						
TJKV06M.30	15	2.8	2.8	2018/08/07	ArgTT	84.9550966513519	84.9550966513519	1.20301945157411	1.20301945157411	645.690920019696	645.690920019696
