AnimalID	Time	CP.Start	CP.End	BG.Start	BG.End	Date	Delivery
TJKV06M.34	60	0	0.008333	12	12	2018/03/20	IP
TJKV06M.42	60	0	0.008333	13	13	2018/03/20	IP
TJKV06M.43	60	0	0.008333	13.9	13.9	2018/03/20	IP
TJKV06M.41	60	0.045656937096892	0.045656937096892	15.3	15.3	2018/03/20	IP
TJKV06M.45	60	0	0.008333	12.1	12.1	2018/03/20	IP
TJKV06M.20	60	0	0.008333	30.1	30.1	2018/03/20	IP
TJKV06M.06	60	0	0.008333	15.6	15.6	2018/03/20	IP
TJKV06M.07	60	0	0.008333	19.6	19.6	2018/03/20	IP
TJKV06M.11	60	0	0.008333	25.1	25.1	2018/03/20	IP
TJKV06M.13	60	0	0.008333	22	22	2018/03/20	IP
TJKV06M.15	60	0	0.008333	28.6	28.6	2018/03/20	IP
TJKV06M.18	60	0	0.008333	22.9	22.9	2018/03/20	IP
TJKV06M.02	60	0	0.008333	28.6	28.6	2018/03/20	IP
TJKV06M.26	60	0	0.008333	15.4	15.4	2018/03/20	IP
TJKV06M.32	60	0	0.008333	24.8	24.8	2018/03/20	IP
TJKV06M.35	60	0	0.008333	11.5	11.5	2018/03/20	IP
TJKV06M.36	60	0	0.008333	16.7	16.7	2018/03/20	IP
TJKV06M.37	60	0	0.008333	11.2	11.2	2018/03/20	IP
TJKV06M.38	60	0	0.008333	11.8	11.8	2018/03/20	IP
TJKV06M.47	60	0	0.008333	18.1	18.1	2018/03/20	IP
TJKV06M.48	60	0	0.008333	14.8	14.8	2018/03/20	IP
TJKV06M.10	60	0	0.008333	25	25	2018/03/20	IP
TJKV06M.08	60	0.114391032715958	0.114391032715958	23	23	2018/03/20	IP
TJKV06M.12	60	0.210514025645909	0.210514025645909	23.9	23.9	2018/03/20	IP
TJKV06M.14	60	0	0.008333	26.6	26.6	2018/03/20	IP
TJKV06M.16	60	0	0.008333	20.4	20.4	2018/03/20	IP
TJKV06M.17	60	0	0.008333	23.8	23.8	2018/03/20	IP
TJKV06M.21	60	0	0.008333	19.1	19.1	2018/03/20	IP
TJKV06M.25	0	0	0.008333	4.8	4.8	2018/04/18	IP
TJKV06M.27	0	0	0.008333	3.9	3.9	2018/04/18	IP
TJKV06M.31	0	0	0.008333	5.2	5.2	2018/04/18	IP
TJKV06M.33	0	0	0.008333	4.8	4.8	2018/04/18	IP
TJKV06M.40	0	0	0.008333	4.6	4.6	2018/04/18	IP
TJKV06M.44	0	0	0.008333	4.3	4.3	2018/04/18	IP
TJKV06M.46	0	0	0.008333	3.1	3.1	2018/04/18	IP
TJKV06M.30	0	0	0.008333	4.6	4.6	2018/04/18	IP
TJKV06M.04	0	0	0.008333	6.5	6.5	2018/04/18	IP
TJKV06M.05	0	0	0.008333	7.3	7.3	2018/04/18	IP
TJKV06M.01	0	0	0.008333	4.7	4.7	2018/04/18	IP
TJKV06M.19	0	0	0.008333	4	4	2018/04/18	IP
TJKV06M.22	0	0	0.008333	4.6	4.6	2018/04/18	IP
TJKV06M.23	0	0	0.008333	4.7	4.7	2018/04/18	IP
TJKV06M.24	0	0	0.008333	3.4	3.4	2018/04/18	IP
TJKV06M.28	0	0	0.008333	4.8	4.8	2018/04/18	IP
TJKV06M.29	0	0	0.008333	4.5	4.5	2018/04/18	IP
TJKV06M.03	0	0	0.008333	5.9	5.9	2018/04/18	IP
TJKV06M.34	0	0	0.008333	4.4	4.4	2018/04/18	IP
TJKV06M.42	0	0	0.008333	6.2	6.2	2018/04/18	IP
TJKV06M.43	0	0	0.008333	5	5	2018/04/18	IP
TJKV06M.41	0	0	0.008333	4.5	4.5	2018/04/18	IP
TJKV06M.45	0	0	0.008333	5.7	5.7	2018/04/18	IP
TJKV06M.20	0	0.106365219033015	0.106365219033015	4.6	4.6	2018/04/18	IP
TJKV06M.06	0	0.269061193644826	0.269061193644826	4.6	4.6	2018/04/18	IP
TJKV06M.07	0	0.145422724583405	0.145422724583405	5.8	5.8	2018/04/18	IP
TJKV06M.11	0	0	0.008333	4.3	4.3	2018/04/18	IP
TJKV06M.13	0	0	0.008333	4.6	4.6	2018/04/18	IP
TJKV06M.15	0	0.349800445907726	0.349800445907726	6.4	6.4	2018/04/18	IP
TJKV06M.18	0	0	0.008333	5.4	5.4	2018/04/18	IP
TJKV06M.02	0	0	0.008333	4.4	4.4	2018/04/18	IP
TJKV06M.26	0	0.04669250338295	0.04669250338295	5.4	5.4	2018/04/18	IP
TJKV06M.32	0	0.17754905909867	0.17754905909867	5.4	5.4	2018/04/18	IP
TJKV06M.35	0	0	0.008333	4	4	2018/04/18	IP
TJKV06M.36	0	0.521042088336695	0.521042088336695	4.6	4.6	2018/04/18	IP
TJKV06M.37	0	0.401951626063259	0.401951626063259	6.3	6.3	2018/04/18	IP
TJKV06M.38	0	0.034066294905243	0.034066294905243	4.8	4.8	2018/04/18	IP
TJKV06M.47	0	0	0.008333	4.8	4.8	2018/04/18	IP
TJKV06M.48	0	0.112681817662279	0.112681817662279	4.2	4.2	2018/04/18	IP
TJKV06M.10	0	0	0.008333	5.7	5.7	2018/04/18	IP
TJKV06M.08	0	0	0.008333	6	6	2018/04/18	IP
TJKV06M.12	0	0.211783936723056	0.211783936723056	5.8	5.8	2018/04/18	IP
TJKV06M.14	0	0.030974145407393	0.030974145407393	5.7	5.7	2018/04/18	IP
TJKV06M.16	0	0.224133561818645	0.224133561818645	5.4	5.4	2018/04/18	IP
TJKV06M.17	0	0.264463657402124	0.264463657402124	3.9	3.9	2018/04/18	IP
TJKV06M.21	0	0	0.008333	3.8	3.8	2018/04/18	IP
TJKV06M.25	30	0.178376229219068	0.178376229219068	27.6	27.6	2018/04/18	IP
TJKV06M.27	30	0	0.008333	24.2	24.2	2018/04/18	IP
TJKV06M.31	30	0	0.008333	23.5	23.5	2018/04/18	IP
TJKV06M.33	30	0	0.008333	28.2	28.2	2018/04/18	IP
TJKV06M.40	30	0	0.008333	29.2	29.2	2018/04/18	IP
TJKV06M.44	30	0	0.008333	26.1	26.1	2018/04/18	IP
TJKV06M.46	30	0	0.008333	21.3	21.3	2018/04/18	IP
TJKV06M.30	30	0	0.008333	28.5	28.5	2018/04/18	IP
TJKV06M.04	30	0.170355156122713	0.170355156122713	28.1	28.1	2018/04/18	IP
TJKV06M.05	30	0	0.008333	20.9	20.9	2018/04/18	IP
TJKV06M.01	30	0	0.008333	33.3	147	2018/04/18	IP
TJKV06M.19	30	0	0.008333	25.6	25.6	2018/04/18	IP
TJKV06M.22	30	0	0.008333	33.3	147	2018/04/18	IP
TJKV06M.23	30	0.04905170141187	0.04905170141187	33.3	147	2018/04/18	IP
TJKV06M.24	30	0	0.008333	29.5	29.5	2018/04/18	IP
TJKV06M.28	30	0	0.008333	24.8	24.8	2018/04/18	IP
TJKV06M.29	30	0	0.008333	18.4	18.4	2018/04/18	IP
TJKV06M.03	30	0	0.008333	26.6	26.6	2018/04/18	IP
TJKV06M.34	30	0	0.008333	29.4	29.4	2018/04/18	IP
TJKV06M.42	30	0	0.008333	24.8	24.8	2018/04/18	IP
TJKV06M.43	30	0	0.008333	31.7	31.7	2018/04/18	IP
TJKV06M.41	30	0	0.008333	29	29	2018/04/18	IP
TJKV06M.45	30	0	0.008333	21	21	2018/04/18	IP
TJKV06M.20	30	0	0.008333	25.3	25.3	2018/04/18	IP
