Estimate,Est.Error,Q2.5,Q97.5,Group,Sex,WeeksNom,TimeNom,Weeks,FullGroup,Time
0.1781193417806277,0.12652189663278987,-0.10233573249999996,0.395741322,KC,Male,4,60,4,Male_KC,60
0.09990256439112703,0.08751853359965457,-0.08510082997499997,0.2608302924999999,KC,Female,8,0,8,Female_KC,0
0.1006772922336169,0.08768628804707694,-0.0844657975,0.2614733949999997,KC,Female,8,30,8,Female_KC,30
0.10553247512898527,0.0876195048877276,-0.07893059000000001,0.2671721374999998,KC,Female,8,60,8,Female_KC,60
0.22844591986977336,0.12651565101545487,-0.054731479750000034,0.44347641499999996,KC,Male,8,0,8,Male_KC,0
0.180658815347419,0.12576817820622332,-0.09846557999999997,0.397861194,KC,Male,8,30,8,Male_KC,30
0.18361250175402194,0.12491347577069202,-0.092910785,0.39971893,KC,Male,8,60,8,Male_KC,60
0.10646853338680792,0.08558205462508844,-0.07348656000000005,0.2646293709999999,KC,Female,10,0,10,Female_KC,0
0.10361174709851498,0.08737316464884239,-0.080901055,0.2648311326249998,KC,Female,10,30,10,Female_KC,30
0.1764424417526134,0.08807655262871782,-0.010180655000000092,0.3369437662499998,KC,Female,10,60,10,Female_KC,60
0.2384133620698708,0.12274608398950618,-0.03380201925000004,0.4499979272499999,KC,Male,10,0,10,Male_KC,0
0.179639361009571,0.1264227085723396,-0.10061787099999997,0.3968636409999999,KC,Male,10,30,10,Male_KC,30
0.1911835272011578,0.12234480656476322,-0.07900645525000002,0.4035094075,KC,Male,10,60,10,Male_KC,60
0.2090913205502494,0.08850715829730307,0.021780670000000012,0.3709717349999999,KC,Female,12,0,12,Female_KC,0
0.2729408867370276,0.08815046936022496,0.08756733074999999,0.4353568074999997,KC,Female,12,30,12,Female_KC,30
0.3628442956314596,0.08655531616842116,0.180903585,0.5217702774999997,KC,Female,12,60,12,Female_KC,60
0.2316563233170735,0.12791353523957996,-0.053842274999999995,0.4497010274999999,KC,Male,12,0,12,Male_KC,0
0.28025413103797925,0.12809254631369946,-0.007453533250000025,0.4968540207499999,KC,Male,12,30,12,Male_KC,30
0.3011363949982599,0.12797150430614992,0.014103947500000028,0.5183961749999999,KC,Male,12,60,12,Male_KC,60
0.47302929365389423,0.08701980902059872,0.28854299499999997,0.6324654999999999,KC,Female,16,0,16,Female_KC,0
0.7255262358561555,0.08197968334093374,0.5601492749999999,0.8826949024999999,KC,Female,16,30,16,Female_KC,30
0.8857483527231103,0.08013054527528458,0.7234033205,1.0395324199999998,KC,Female,16,60,16,Female_KC,60
0.8733615179595949,0.08138063436520918,0.7071048955000001,1.0283338275,KC,Female,16,90,16,Female_KC,90
0.9176636301282363,0.07854264984417543,0.7566368672499999,1.0668181099999998,KC,Female,16,120,16,Female_KC,120
0.31597038603807415,0.12681031338420437,0.03231867249999999,0.5319111242499999,KC,Male,16,0,16,Male_KC,0
0.4915740474712243,0.1265603207651622,0.20695491050000003,0.7051765172500001,KC,Male,16,30,16,Male_KC,30
0.5790121152777267,0.1262168991333566,0.29808467749999995,0.7953008599999998,KC,Male,16,60,16,Male_KC,60
0.652894686853824,0.1229652633441814,0.37890472000000003,0.8635530050000001,KC,Male,16,90,16,Male_KC,90
0.6676410722006892,0.12294719830057885,0.39236572750000004,0.8773136325,KC,Male,16,120,16,Male_KC,120
0.740234489124041,0.07648249684460358,0.585602945,0.8873724025,KC,Female,21,0,21,Female_KC,0
1.4816338594026628,0.07968727888998321,1.324284975,1.637911445,KC,Female,21,30,21,Female_KC,30
1.3756131426956717,0.0789942371436659,1.2154565849999996,1.5272454540000002,KC,Female,21,60,21,Female_KC,60
1.0638199271024114,0.08014476965997155,0.9014616824999999,1.2173178624999996,KC,Female,21,90,21,Female_KC,90
1.0810436851288938,0.0790274024155602,0.9215160224999999,1.2328742107500004,KC,Female,21,120,21,Female_KC,120
0.5938984811532574,0.13135363513363885,0.2990870225000001,0.8163542699999998,KC,Male,21,0,21,Male_KC,0
0.9033204668506999,0.10104880188128772,0.6977069000000001,1.0967250649999998,KC,Male,21,30,21,Male_KC,30
1.0590627317551495,0.10606805931515838,0.8439735175000002,1.2620712935,KC,Male,21,60,21,Male_KC,60
1.1323632473971248,0.1027354616703953,0.9187024880000001,1.3248653099999999,KC,Male,21,90,21,Male_KC,90
1.0302830006818242,0.11211448870399643,0.8010567143749998,1.2427947732499998,KC,Male,21,120,21,Male_KC,120
0.24282937330793603,0.16548597774374013,-0.13173472500000002,0.5202431749999998,TC,Female,4,0,4,Female_TC,0
0.2417931929849901,0.16676785095083094,-0.13524183575,0.521056391725,TC,Female,4,30,4,Female_TC,30
0.24306667653098826,0.16708921454784145,-0.1356563875,0.5220651849999999,TC,Female,4,60,4,Female_TC,60
0.3354433150607135,0.2056005404980594,-0.1361382,0.6688574499999994,TC,Male,4,0,4,Male_TC,0
0.3601673116352966,0.20957280787588448,-0.12579071,0.6942884149999998,TC,Male,4,30,4,Male_TC,30
0.35773555537530904,0.20916659501579538,-0.12493655,0.6919055707499994,TC,Male,4,60,4,Male_TC,60
