AnimalID	BW	BG	Date
TJKV06M.06	20.4	11.2	2018/03/02
TJKV06M.07	22.7	11	2018/03/02
TJKV06M.11	22.5	8.8	2018/03/02
TJKV06M.13	21.4	8.5	2018/03/02
TJKV06M.15	22.3	8.9	2018/03/02
TJKV06M.18	22.6	9.8	2018/03/02
TJKV06M.02	20.5	8.9	2018/03/02
TJKV06M.28	17.3	9	2018/03/02
TJKV06M.29	17.3	8	2018/03/02
TJKV06M.03	17.8	8.5	2018/03/02
TJKV06M.34	17.7	8.2	2018/03/02
TJKV06M.42	14.9	6.8	2018/03/02
TJKV06M.43	18.3	8.2	2018/03/02
TJKV06M.41	16.6	8.3	2018/03/02
TJKV06M.45	18.9	8.5	2018/03/02
TJKV06M.10	22.4	9.8	2018/03/02
TJKV06M.08	22.7	12.2	2018/03/02
TJKV06M.12	24.9	11.1	2018/03/02
TJKV06M.14	24.6	9.3	2018/03/02
TJKV06M.16	24.2	9.2	2018/03/02
TJKV06M.17	22.1	10.2	2018/03/02
TJKV06M.21	23.7	10.9	2018/03/02
TJKV06M.26	18.7	9.8	2018/03/02
TJKV06M.32	18.8	8.4	2018/03/02
TJKV06M.35	17.6	8.2	2018/03/02
TJKV06M.36	19.5	8	2018/03/02
TJKV06M.37	18.8	7.5	2018/03/02
TJKV06M.38	19.4	8	2018/03/02
TJKV06M.47	18.4	7.2	2018/03/02
TJKV06M.48	18.2	5.8	2018/03/02
TJKV06M.30	23.8	10.9	2018/03/07
TJKV06M.04	22	10.7	2018/03/07
TJKV06M.05	27.4	9.2	2018/03/07
TJKV06M.01	20.3	10.9	2018/03/07
TJKV06M.19	23.2	10.9	2018/03/07
TJKV06M.22	23.5	9.9	2018/03/07
TJKV06M.23	23.8	10.5	2018/03/07
TJKV06M.24	22.2	8.6	2018/03/07
TJKV06M.25	18.1	8.3	2018/03/07
TJKV06M.27	16.6	7.8	2018/03/07
TJKV06M.31	16.4	8.9	2018/03/07
TJKV06M.33	20	9.7	2018/03/07
TJKV06M.40	18.8	7.4	2018/03/07
TJKV06M.44	19	7.3	2018/03/07
TJKV06M.46	19.8	7.4	2018/03/07
TJKV06M.20	21.2	9.3	2018/03/07
TJKV06M.06	20.4	9.4	2018/03/07
TJKV06M.07	22.7	10.2	2018/03/07
TJKV06M.11	23	9.2	2018/03/07
TJKV06M.13	22	10.3	2018/03/07
TJKV06M.15	23.2	9.6	2018/03/07
TJKV06M.18	22.3	9.1	2018/03/07
TJKV06M.02	20.4	8.8	2018/03/07
TJKV06M.28	17.1	8.2	2018/03/07
TJKV06M.29	17.6	10	2018/03/07
TJKV06M.03	18.6	7.7	2018/03/07
TJKV06M.34	17.7	6.2	2018/03/07
TJKV06M.42	15.7	7.3	2018/03/07
TJKV06M.43	18.5	6.5	2018/03/07
TJKV06M.41	17.3	7.5	2018/03/07
TJKV06M.45	20.1	8	2018/03/07
TJKV06M.10	23.4	10.8	2018/03/07
TJKV06M.08	22.9	10	2018/03/07
TJKV06M.09			2018/03/07
TJKV06M.12	25.1	11	2018/03/07
TJKV06M.14	25.7	11.1	2018/03/07
TJKV06M.16	24.4	11.4	2018/03/07
TJKV06M.17	21.9	9.6	2018/03/07
TJKV06M.21	23.6	10.5	2018/03/07
TJKV06M.26	19.4	9.1	2018/03/07
TJKV06M.32	19.4	8	2018/03/07
TJKV06M.35	18.4	8	2018/03/07
TJKV06M.36	19.8	7.9	2018/03/07
TJKV06M.37	19.4	6.2	2018/03/07
TJKV06M.38	19.9	8.4	2018/03/07
TJKV06M.47	19.2	7.7	2018/03/07
TJKV06M.48	18.9	6.2	2018/03/07
TJKV06M.30	25.3	10.3	2018/03/14
TJKV06M.04	23.5	9.5	2018/03/14
TJKV06M.05	28.5	9.3	2018/03/14
TJKV06M.01	21.4	12.3	2018/03/14
TJKV06M.19	24.1	10	2018/03/14
TJKV06M.22	24.8	10	2018/03/14
TJKV06M.23	25.3	10.9	2018/03/14
TJKV06M.24	22.7	10.2	2018/03/14
TJKV06M.25	19.2	8.3	2018/03/14
TJKV06M.27	17.1	7.5	2018/03/14
TJKV06M.31	17.2	7.7	2018/03/14
TJKV06M.33	22.5	10.3	2018/03/14
TJKV06M.40	20.3	7.3	2018/03/14
TJKV06M.44	21	9.1	2018/03/14
TJKV06M.46	20.9	8.9	2018/03/14
TJKV06M.20	22.1	9.3	2018/03/14
TJKV06M.06	21.3	10.7	2018/03/14
TJKV06M.07	23.7	9	2018/03/14
TJKV06M.11	23.4	8.2	2018/03/14
TJKV06M.13	22.8	10.2	2018/03/14
TJKV06M.15	23.8	10.2	2018/03/14
TJKV06M.18	23.6	10.4	2018/03/14
TJKV06M.02	21.4	8.8	2018/03/14
TJKV06M.28	18.4	9.3	2018/03/14
TJKV06M.29	19.1	8.3	2018/03/14
TJKV06M.03	19.5	8.8	2018/03/14
TJKV06M.34	18.6	8.9	2018/03/14
TJKV06M.42	17.4	7.4	2018/03/14
TJKV06M.43	20.1	8	2018/03/14
TJKV06M.41	18.5	7.9	2018/03/14
TJKV06M.45	20.9	8.2	2018/03/14
TJKV06M.10	24.4	10	2018/03/14
TJKV06M.08	22.7	10.9	2018/03/14
TJKV06M.12	25.5	10	2018/03/14
TJKV06M.14	26.9	9.8	2018/03/14
TJKV06M.16	25.1	9.9	2018/03/14
TJKV06M.17	22.5	9.8	2018/03/14
TJKV06M.21	23.1	8.3	2018/03/14
TJKV06M.26	21	8.8	2018/03/14
TJKV06M.32	20	7.9	2018/03/14
TJKV06M.35	18.7	9	2018/03/14
TJKV06M.36	20.8	8.3	2018/03/14
TJKV06M.37	20.7	8.7	2018/03/14
TJKV06M.38	21.7	8.8	2018/03/14
TJKV06M.47	19.5	6.9	2018/03/14
TJKV06M.48	19.8	8.1	2018/03/14
TJKV06M.30	27.5	6.3	2018/03/21
TJKV06M.04	24.3	6.8	2018/03/21
TJKV06M.05	29	8.1	2018/03/21
TJKV06M.01	22.5	9	2018/03/21
TJKV06M.19	26.1	8.2	2018/03/21
TJKV06M.22	25.8	9.4	2018/03/21
TJKV06M.23	26.5	9.7	2018/03/21
TJKV06M.24	23.6	8.1	2018/03/21
TJKV06M.25	19.4	7.3	2018/03/21
TJKV06M.27	17.8	6.9	2018/03/21
TJKV06M.31	17.5	5.4	2018/03/21
TJKV06M.33	22	8.6	2018/03/21
TJKV06M.40	20.8	7	2018/03/21
TJKV06M.44	21.5	7.7	2018/03/21
TJKV06M.46	22.1	7.5	2018/03/21
TJKV06M.20	23	7.1	2018/03/21
TJKV06M.06	22.3	7.5	2018/03/21
