Estimate,Est.Error,Q2.5,Q97.5,Group,Sex,DaysNom,Days,FullGroup,Weeks
7.889064165931799,0.35011397694374186,7.196912265963414,8.57824102730201,KC,Male,92,92,Male_KC,13
6.373682171772263,0.3708562746785082,5.649777994887609,7.101089238842338,KC,Female,99,99,Female_KC,14
7.853918460229925,0.37463015747134715,7.119635698246454,8.593572247272519,KC,Male,99,99,Male_KC,14
5.049862076718146,0.4179553986180616,4.229655292354648,5.88220737380153,KC,Female,130,130,Female_KC,19
8.015396821590617,0.41901654012607087,7.1925159589033605,8.837686371340054,KC,Male,130,130,Male_KC,19
4.415654082130425,0.4890248472986014,3.449095098892932,5.377742187628097,KC,Female,143,143,Female_KC,20
6.724798472791457,0.48637455608890146,5.7669636684057,7.687795824760075,KC,Male,143,143,Male_KC,20
3.8641860681546127,0.5141265857067834,2.8419464522771247,4.879109873305931,KC,Female,164,164,Female_KC,23
7.639510784882087,0.5419170905265467,6.57690363655313,8.696195325354482,KC,Male,164,164,Male_KC,23
3.866837553329387,0.5695767331655213,2.7446439582522064,4.990936308749577,KC,Female,183,183,Female_KC,26
8.00579075408392,0.6008389657500033,6.815424327673516,9.175279392090898,KC,Male,183,183,Male_KC,26
3.962839374482373,0.599721071212893,2.795307219549758,5.1531421599414475,KC,Female,191,191,Female_KC,27
7.837832598994087,0.6354216428735048,6.585196796765477,9.074578152271732,KC,Male,191,191,Male_KC,27
7.763554233596626,0.40557375152902264,6.960220214367261,8.56425428100604,TC,Female,-2,-2,Female_TC,-0
10.460636319808739,0.40815134967188377,9.662595041014686,11.264990110353411,TC,Male,-2,-2,Male_TC,-0
7.866258289506283,0.36934897158202323,7.142771111496282,8.59768966010985,TC,Female,10,10,Female_TC,1
10.386331253452534,0.3928976799244176,9.61510653919856,11.154537411345387,TC,Male,10,10,Male_TC,1
7.687531135341566,0.32571159316488923,7.04328220888724,8.328144282988076,TC,Female,15,15,Female_TC,2
10.63039146461865,0.34735804594904784,9.945890390580958,11.306268516853853,TC,Male,15,15,Male_TC,2
8.31476453658828,0.3201967979685652,7.692686730734239,8.947855830792122,TC,Female,22,22,Female_TC,3
9.81325356676744,0.34432268084361234,9.134969258503162,10.489296703726577,TC,Male,22,22,Male_TC,3
6.999198671242003,0.3386585363575747,6.323856336120067,7.661169955221783,TC,Female,29,29,Female_TC,4
7.5409199344521065,0.3598707777891568,6.832696108916377,8.248156725448526,TC,Male,29,29,Male_TC,4
8.062238680964306,0.3393833497828973,7.3890370986736835,8.72971262181722,TC,Female,36,36,Female_TC,5
9.470474828141603,0.35710275077149906,8.766456709178863,10.172122538265796,TC,Male,36,36,Male_TC,5
7.863464949452126,0.3643786744681346,7.143000466732216,8.58226629189584,TC,Female,43,43,Female_TC,6
8.759274148845652,0.38208974715695343,8.009132242824673,9.503177648518463,TC,Male,43,43,Male_TC,6
7.5509875708137955,0.31619802895565563,6.926219295811139,8.17511181619639,TC,Female,50,50,Female_TC,7
9.542441768707125,0.3364650433837271,8.884373606061903,10.209898024624106,TC,Male,50,50,Male_TC,7
6.037009847702902,0.3987209437851273,5.256036540387768,6.8264632735282555,TC,Female,64,64,Female_TC,9
9.645723904332764,0.42880157757925524,8.799070206477502,10.489691672760676,TC,Male,64,64,Male_TC,9
5.074982159419167,0.40977168297228894,4.265753430803073,5.882329411093751,TC,Female,78,78,Female_TC,11
7.221911360027105,0.43525242941895464,6.366069099579675,8.082775575679534,TC,Male,78,78,Male_TC,11
5.259963372918458,0.35090278113732576,4.562385667077821,5.943815814804078,TC,Female,92,92,Female_TC,13
7.587194346394404,0.3736490729622178,6.8501429949067,8.319171145008264,TC,Male,92,92,Male_TC,13
5.615326351010131,0.37346619006834425,4.881439082953275,6.35605630298138,TC,Female,99,99,Female_TC,14
7.453845364012669,0.396867841073754,6.677800704676355,8.237187570687498,TC,Male,99,99,Male_TC,14
4.486794414039182,0.41887138929206064,3.666897259328368,5.312079319607168,TC,Female,130,130,Female_TC,19
6.8558977350486,0.47991823338834877,5.902128427087492,7.79169460487289,TC,Male,130,130,Male_TC,19
4.8353358889566405,0.48767567963099884,3.873399346760321,5.793202535399802,TC,Female,143,143,Female_TC,20
7.209762767851507,0.5594172883401762,6.112093853872557,8.321966606542414,TC,Male,143,143,Male_TC,20
4.524688463191401,0.5191818037982473,3.4910237093232865,5.541715569990237,TC,Female,164,164,Female_TC,23
6.217878718905419,0.5916457112591558,5.064886755946376,7.395800821549942,TC,Male,164,164,Male_TC,23
4.178865631526249,0.5686670087005549,3.0576592322868956,5.295397177492765,TC,Female,183,183,Female_TC,26
5.90852335137335,0.6511950489769723,4.618177184594117,7.197203568918009,TC,Male,183,183,Male_TC,26
4.711222246447884,0.6044799534879188,3.5188434770919472,5.901570827416654,TC,Female,191,191,Female_TC,27
6.522520807157145,0.6938500002767866,5.16258000535764,7.907808104664906,TC,Male,191,191,Male_TC,27
