Estimate,Est.Error,Q2.5,Q97.5,Group,Sex,DaysNom,Days,FullGroup,Weeks
25.58243331950007,0.7075104491063492,24.177927534027937,26.96104588770659,KC,Male,43,43,Male_KC,6
21.718479140676436,0.6809212576015643,20.42382065141972,23.0989174376437,KC,Female,50,50,Female_KC,7
26.079603625104298,0.6801794198082032,24.712756178290693,27.401991800144287,KC,Male,50,50,Male_KC,7
22.184077195517467,0.6572901332787169,20.901447311567672,23.477615256885546,KC,Female,64,64,Female_KC,9
26.806920100060818,0.6542102537525282,25.511547062652298,28.08216545913686,KC,Male,64,64,Male_KC,9
22.88099762553941,0.7344819429369145,21.446744050283552,24.32507884543218,KC,Female,78,78,Female_KC,11
27.122999065916385,0.725664951904994,25.684182570555514,28.51706141158485,KC,Male,78,78,Male_KC,11
24.11706323261773,0.8237492021112557,22.495125224329808,25.732185252048875,KC,Female,92,92,Female_KC,13
27.77416784857692,0.8186291971317593,26.13398828661035,29.368971479053467,KC,Male,92,92,Male_KC,13
24.630314534247482,0.8078043775930804,23.02821176182393,26.222415693291776,KC,Female,99,99,Female_KC,14
27.980674104328116,0.8058311836148969,26.375970570920774,29.550959697020243,KC,Male,99,99,Male_KC,14
25.049093678784214,0.7857073872731797,23.491997281478508,26.604481448197735,KC,Female,130,130,Female_KC,19
28.035983671225654,0.7811275267826555,26.501460018162277,29.571113465351903,KC,Male,130,130,Male_KC,19
26.184742796293662,0.8825404848954634,24.43180143019184,27.919213309543398,KC,Female,143,143,Female_KC,20
28.72308908396643,0.8787420832646148,26.980736207771074,30.4250544620342,KC,Male,143,143,Male_KC,20
25.35871983683404,0.8573508937157893,23.651931348081753,27.035562957602618,KC,Female,164,164,Female_KC,23
29.327939065331638,0.8687346503931533,27.604943412262724,31.03073578334669,KC,Male,164,164,Male_KC,23
24.93521595244481,0.9086112305418611,23.14387365802311,26.70367311601346,KC,Female,183,183,Female_KC,26
29.866554048797955,0.9338009500270659,28.039126150308423,31.69594571255694,KC,Male,183,183,Male_KC,26
25.908292883335875,1.0305121804458037,23.85374660613457,27.93365558756854,KC,Female,191,191,Female_KC,27
30.20663310617724,1.0566514893012617,28.13494722384024,32.27104630682896,KC,Male,191,191,Male_KC,27
17.372112165329735,0.5853984478946666,16.234344067960798,18.52044186905879,TC,Female,-5,-5,Female_TC,-1
21.42162979954846,0.5825363565093479,20.28379293806651,22.580639129738664,TC,Male,-5,-5,Male_TC,-1
17.171690877023003,0.5859550691258772,16.030169245375294,18.32591188949163,TC,Female,-3,-3,Female_TC,-0
21.49725172925263,0.5832904043591757,20.362300065504044,22.657647681173486,TC,Male,-3,-3,Male_TC,-0
17.286899266664538,0.5798411692503567,16.1496797322212,18.43280164990775,TC,Female,-2,-2,Female_TC,-0
21.896466063880627,0.5754536658992445,20.772901347079593,23.04520575170734,TC,Male,-2,-2,Male_TC,-0
18.67655873318597,0.5594731863166501,17.567299492309306,19.772742441313124,TC,Female,10,10,Female_TC,1
23.419289543568897,0.5657984935151459,22.30560498240598,24.562198458358967,TC,Male,10,10,Male_TC,1
19.299882153129605,0.5806961782926101,18.151825586604076,20.438797798466915,TC,Female,15,15,Female_TC,2
23.753618876385985,0.5843808636070115,22.616136032734417,24.922882359446728,TC,Male,15,15,Male_TC,2
20.279243134667755,0.6192738545256815,19.056427345851397,21.507276830985372,TC,Female,22,22,Female_TC,3
24.20885015132325,0.6252130322992853,22.984462869178284,25.459794752442825,TC,Male,22,22,Male_TC,3
20.796483022883496,0.614237698933104,19.590767732593253,22.00822130357526,TC,Female,29,29,Female_TC,4
